name	level	heat	longitude	latitude
石象湖	4A	0.7	103.43155	30.19131
海上田园	4A	0.74	113.780542	22.733255
大慈岩	4A	0.7	119.301811	29.333066
大皇宫		0	100.4912884	13.75003021
建水文庙	4A	1	102.830075	23.618155
军事文化遗址公园		0	120.29453	31.938848
美岱召	4A	0.74	110.716041	40.610486
101大楼		1	121.56496	25.033616
诸葛八卦村	4A	0.8	119.307214	29.252718
庆王府		0.7	117.214351	39.119385
承德大汗行宫	4A	0	115.957722	41.637289
井冈山	5A	1	114.172394	26.576456
火石寨国家地质公园	4A	0.78	105.761388	36.093087
三游洞	4A	0	111.271738	30.771731
三国赤壁古战场	5A	0	113.640833	29.883452
石浦渔港古城	4A	0.72	121.953183	29.215423
嵩阳景区		0	113.037495	34.487076
梅花洲景区	4A	0	120.85874	30.674676
张壁古堡		0.74	111.980239	36.967977
雪窦山		0.74	121.290404	29.687924
东澳岛		0.74	113.719602	22.024888
青龙山慈云寺	3A	0	113.085386	34.68706
包公祠	4A	0.92	114.345583	34.799117
夏塔景区	4A	0	80.594579	42.674563
重元寺	4A	0	120.788608	31.412087
郑国渠		0	108.638964	34.61499
关山古镇	4A	0	112.685167	28.302537
普吉镇夜市		0	98.36645467	7.880434678
洛阳白马寺	4A	0.88	112.609473	34.726745
台州府城文化旅游区（江南长城）	4A	0.74	121.129629	28.857008
天津蓟州黄崖关长城景区	4A	0.74	117.451814	40.250234
渣滓洞		0.78	106.439082	29.59244
西游记漂流		0	113.547001	32.332456
望海楼		0.7	121.136059	27.842985
求仙入海处	4A	0.72	119.628079	39.920778
庐山风景名胜区	5A	1	116.001261	29.561078
天心阁	4A	0.8	112.988272	28.190228
木兰清凉寨	4A	0.7	114.225206	31.298063
同里珍珠塔		0.7	120.7238328	31.16418489
陈家祠	4A	0.8	113.252276	23.132927
南社明清古建筑群		0	113.909952	23.073563
卓克基土司官寨		0.7	102.292064	31.866114
蒋氏故里		0.74	121.292095	29.688748
曲阜孔府		0	116.996408	35.596925
汉中马超墓		0	106.646857	33.157997
呈坎	5A	0.72	118.293031	29.928992
椰田古寨		0	109.865679	18.432287
天波杨府		0.9	114.353764	34.816973
东山岭文化旅游区	4A	0.8	110.427807	18.808458
都江堰水果侠星球		0	103.60936	30.980932
圣家族大教堂		0	2.1743558	41.4036299
安昌古镇	3A	0.82	120.502674	30.141843
洪湖生态旅游风景区	4A	0	113.210804	29.936136
张园		0	117.2045721	39.13652061
安帕瓦水上市场		0	99.9553108	13.4257831
开平碉楼		0.98	112.586516	22.376606
白帝城	4A	0.78	109.580814	31.049698
哈利法塔		0	55.27437674	25.19719639
周王城天子驾六博物馆	3A	0.74	112.449771	34.680019
中国古羌城	4A	0	103.844577	31.677731
福建土楼王（高北土楼）	5A	0	117.011006	24.668343
古城·尚书第		0.82	117.184156	26.904089
武陵源风景名胜区		1	110.487843	29.3416
七曲山大庙	4A	0.88	105.203606	31.700846
四方水上市场		0	100.9045853	12.86797335
湟川三峡	4A	0.72	112.418323	24.768381
方塔园	4A	0.7	121.253312	31.010527
周村古商城	4A	0.72	117.848444	36.807
灵谷寺		0.76	118.870637	32.048892
张厅		0.72	120.925574	31.751931
古隆中	4A	1	112.041845	31.99698
伏羲庙	4A	0.9	105.713824	34.585441
小普陀		0.74	100.230135	25.81329
塔云山	4A	0	109.047125	33.309354
罗布人村寨	4A	0.72	86.121885	41.06401
铁塔公园	4A	0.82	114.376267	34.822768
石皮弄		0	120.897872	30.950595
SkyPoint星空塔观景台		0	153.4295298	-28.00600995
查济古村	4A	0	118.067257	30.55036
南阳府衙		0	112.543726	32.998989
巴松措	5A	0.76	93.869055	29.988577
大唐贡茶院		0	119.814146	31.133572
闸坡		0	111.848297	21.574987
昆明金殿风景名胜区	4A	0	102.77558	25.089211
金门列岛		0	118.428826	24.513486
李庄古镇	4A	0.72	104.808612	28.809049
千灯古镇	4A	0.72	121.009335	31.272657
枫泾古镇	4A	0.72	121.023149	30.892415
和顺古镇	4A	1	98.461427	25.014828
函谷关	4A	1	110.932861	34.640351
白鹿洞书院		0.8	116.047449	29.523417
魏集古村落		0	117.764764	37.303931
色尔古藏寨		0	103.433727	31.928628
交河故城		0.72	89.0774	42.954298
康百万庄园	4A	0.72	112.957185	34.76884
杨家岭革命旧址	3A	0.72	109.473911	36.624323
朱山石刻		0	114.428014	36.803098
余荫山房		0.72	113.401845	23.018022
田螺坑土楼群		0.98	117.067305	24.589879
西霞口	4A	0.76	122.638932	37.417408
浮梁古县衙	4A	0.76	117.257663	29.373252
无染寺		0	121.782761	37.228493
岳麓书院		0	112.94755	28.186708
屈原故里	5A	0.74	110.992628	30.830342
勐景来	3A	0.72	100.05855	21.699909
叠彩山		0.76	110.30751	25.296191
越王楼		0	104.762706	31.475516
青木川古镇		0	105.58501	32.836984
圣莲山	4A	0.7	115.735581	39.84928
婺源风景区	5A	1	117.861924	29.247904
周口店北京猿人遗址	4A	0.7	115.935105	39.696637
拉卜楞寺	4A	1	102.512144	35.199748
新昌大佛寺	4A	0.76	120.89737	29.506979
天一阁博物馆	5A	0.72	121.545361	29.877342
中国阳明文化园		0	106.614626	26.852046
白公馆		0.8	106.431658	29.577525
广化寺		0	113.606014	39.020132
高昌故城		0.74	89.53855	42.863632
阳朔		0	110.502714	24.784504
扬州古运河	3A	0.82	119.435822	32.362876
